filename, language, JavaScript, JSON, HTML, comment, blank, total
config\custom-environment-variables.json, JSON, 0, 4, 0, 0, 0, 4
config\test.json, JSON, 0, 4, 0, 0, 0, 4
index.js, JavaScript, 12, 0, 0, 2, 6, 20
jest.config.js, JavaScript, 3, 0, 0, 0, 0, 3
middleware\admin.js, JavaScript, 4, 0, 0, 0, 1, 5
middleware\async.js, JavaScript, 10, 0, 0, 0, 0, 10
middleware\auth.js, JavaScript, 14, 0, 0, 0, 2, 16
middleware\error.js, JavaScript, 5, 0, 0, 0, 2, 7
middleware\objectid.js, JavaScript, 6, 0, 0, 0, 1, 7
models\customer.js, JavaScript, 41, 0, 0, 0, 7, 48
models\genre.js, JavaScript, 21, 0, 0, 2, 7, 30
models\google-user.js, JavaScript, 8, 0, 0, 0, 4, 12
models\movie.js, JavaScript, 62, 0, 0, 0, 9, 71
models\rental.js, JavaScript, 84, 0, 0, 0, 9, 93
models\user.js, JavaScript, 80, 0, 0, 0, 12, 92
package-lock.json, JSON, 0, 7113, 0, 0, 1, 7114
package.json, JSON, 0, 53, 0, 0, 0, 53
routes\auths.js, JavaScript, 22, 0, 0, 0, 10, 32
routes\customers.js, JavaScript, 43, 0, 0, 1, 14, 58
routes\genres.js, JavaScript, 60, 0, 0, 7, 21, 88
routes\index.html, HTML, 0, 0, 24, 0, 3, 27
routes\movies.js, JavaScript, 40, 0, 0, 1, 16, 57
routes\passport.js, JavaScript, 9, 0, 0, 0, 3, 12
routes\rentals.js, JavaScript, 35, 0, 0, 0, 12, 47
routes\resize.js, JavaScript, 16, 0, 0, 1, 5, 22
routes\returns.js, JavaScript, 19, 0, 0, 0, 8, 27
routes\users.js, JavaScript, 61, 0, 0, 0, 24, 85
startup\cache.js, JavaScript, 42, 0, 0, 4, 9, 55
startup\config.js, JavaScript, 6, 0, 0, 0, 1, 7
startup\db.js, JavaScript, 9, 0, 0, 0, 1, 10
startup\gmail-transporter.js, JavaScript, 8, 0, 0, 0, 1, 9
startup\logging.js, JavaScript, 8, 0, 0, 0, 2, 10
startup\passport.js, JavaScript, 26, 0, 0, 1, 10, 37
startup\prod.js, JavaScript, 6, 0, 0, 0, 1, 7
startup\routes.js, JavaScript, 39, 0, 0, 0, 1, 40
test\integration\auth.test.js, JavaScript, 32, 0, 0, 0, 12, 44
test\integration\cookie.test.js, JavaScript, 17, 0, 0, 1, 6, 24
test\integration\customer.test.js, JavaScript, 48, 0, 0, 0, 19, 67
test\integration\genre.test.js, JavaScript, 139, 0, 0, 0, 46, 185
test\integration\rental.test.js, JavaScript, 105, 0, 0, 3, 38, 146
test\unit\admin.test.js, JavaScript, 0, 0, 0, 0, 1, 1
test\unit\auth.test.js, JavaScript, 24, 0, 0, 0, 5, 29
test\unit\model.test.js, JavaScript, 17, 0, 0, 0, 3, 20
Total, -, 1181, 7174, 24, 23, 333, 8735
